eps acc
0.005 0.7339999675750732
0.01 0.6596997976303101
0.015 0.5778499841690063
0.02 0.4932999610900879
0.025 0.4090003967285156
0.03 0.33215028047561646
0.035 0.26150065660476685
0.04 0.20525068044662476
0.045 0.158500075340271
0.05 0.12064909934997559
0.055 0.08894824981689453
0.06 0.06614768505096436
0.065 0.04919642210006714
0.07 0.035897016525268555
0.075 0.02659708261489868
0.08 0.019447743892669678
